,Emission magnitude [kgh],Cumulative emissions fraction [%]
1734,0.034411571250002,0.998333738438766
1735,0.034446112916665994,0.998331373910084
1736,0.034478518333333,0.9983290071568369
1737,0.034512751250001,0.9983266380528761
1738,0.034548706666666,0.9983242664732449
1739,0.034582820416665,0.998321892546468
1740,0.034617944583333,0.998319516208802
1741,0.03465423833333199,0.998317137381904
1742,0.03468993583333199,0.998314756110642
1743,0.034723571250000994,0.9983123725294808
1744,0.03475784,0.99830998658331
1745,0.034790103749998996,0.9983075984347082
1746,0.034824540833331995,0.9983052079214462
1747,0.034860665833333006,0.9983028149282411
1748,0.034897200000001,0.998300419417661
1749,0.034932589583334,0.9982980214758591
1750,0.034969129583334,0.998295621019073
1751,0.035007322916667,0.9982932179345421
1752,0.035043917500001,0.998290812336819
1753,0.03508127625,0.998288404171646
1754,0.035115719166666,0.9982859936432549
1755,0.035150605833334,0.99828358072217
1756,0.03518587499999899,0.998281165375162
1757,0.035220050833333,0.9982787476824392
1758,0.035255668750000003,0.9982763275453932
1759,0.0352931675,0.998273904842405
1760,0.035327230833333,0.998271479792914
1761,0.03536512833333301,0.9982690521411539
1762,0.03539857125,0.9982666221966972
1763,0.035434224166666,0.998264189792603
1764,0.03547162416666601,0.998261754823232
1765,0.035507668333334005,0.998259317383661
1766,0.03554492166666599,0.998256877397135
1767,0.035579487916667,0.998254435038546
1768,0.03561498708333401,0.998251990241244
1769,0.035649647916667,0.9982495430687071
1770,0.035683877083334,0.998247093549327
1771,0.035721405000001004,0.998244641452487
1772,0.035756432083332,0.998242186947935
1773,0.035795792916667,0.998239729746629
1774,0.035833615833334005,0.998237269956628
1775,0.035871660833334,0.9982348075574501
1776,0.035907517916666,0.9982323426921749
1777,0.035944263333334,0.9982298753046621
1778,0.035981061666664996,0.9982274053984751
1779,0.036019439166666,0.9982249328663609
1780,0.036053695416666996,0.9982224579946941
1781,0.036092845000001,0.998219980437988
1782,0.036129955000002004,0.998217500345276
1783,0.036165687499999,0.9982150178122071
1784,0.036202201249999,0.9982125327736459
1785,0.036238225000001,0.998210045256994
1786,0.036275461666665995,0.998207555176131
1787,0.036311733333334005,0.9982050626014332
1788,0.036352050416668,0.9982025672571699
1789,0.036389105416666,0.998200069369258
1790,0.03642634875000201,0.998197568931231
1791,0.036463725833333,0.9981950659211212
1792,0.036500567083333,0.9981925603839888
1793,0.03654127083333401,0.9981900520609619
1794,0.036579563333332996,0.9981875411089011
1795,0.036616155,0.9981850276326292
1796,0.036650693750001004,0.998182511780969
1797,0.036690070833333,0.9981799932253619
1798,0.036728644166667,0.998177472016814
1799,0.036768000833333994,0.9981749480996889
1800,0.036804426250001,0.9981724216744301
1801,0.036843701666666,0.998169892546826
1802,0.03688292083333499,0.9981673607257419
1803,0.03692171708333299,0.9981648262235309
1804,0.036957912083335,0.9981622892346331
1805,0.036994489166668,0.9981597497352789
1806,0.03703284833333299,0.99815720759937
1807,0.037072339583334,0.9981546627514989
1808,0.037109814999999005,0.9981521153334711
1809,0.037145869166668004,0.9981495654467769
1810,0.037183181249999996,0.9981470130027491
1811,0.03722024125000099,0.9981444580190789
1812,0.037258675833333,0.998141900403119
1813,0.03729596416666701,0.9981393402274472
1814,0.037333116249999,0.9981367775103219
1815,0.037371395416666994,0.9981342121678969
1816,0.037408907499999,0.9981316442595342
1817,0.037446585416667,0.9981290737689241
1818,0.037487257916667,0.9981265004954091
1819,0.037524222916666,0.998123924687542
1820,0.037560849999999,0.998121346353711
1821,0.037601082500001,0.9981187652556752
1822,0.037639198333332,0.9981161815376589
1823,0.037679824166666,0.9981135950479818
1824,0.037719348333334,0.998111005849901
1825,0.037758457916667,0.9981084139632319
1826,0.037796150833334,0.9981058194885011
1827,0.037834109166667004,0.9981032223970849
