,Emission magnitude [kgh],Cumulative emissions fraction [%],Cumulative fraction of sites
105,0.005371016249998999,0.999964067782536,0.01459050240881
106,0.005378004166667,0.9999636985583049,0.01472814865795
107,0.005384977916667,0.9999633288566748,0.014865794907089998
108,0.005392530416667001,0.9999629586366601,0.015003441156230004
109,0.005400312916666999,0.9999625878824949,0.015141087405370002
110,0.005408411250002,0.999962216573004,0.01527873365451
111,0.005416306666667999,0.9999618447223529,0.01541637990365
112,0.005425755833333001,0.9999614722236039,0.015554026152789998
113,0.0054345879166669995,0.9999610991199089,0.015691672401930003
114,0.005443242083334,0.9999607254201969,0.015829318651070002
115,0.005452629999999999,0.9999603510739572,0.015966964900209997
116,0.0054623599999999994,0.9999599760609991,0.01610461114935
117,0.005472086249999,0.9999596003825919,0.01624225739849
118,0.005481805833333999,0.999959224039082,0.016379903647630003
119,0.005492004583334,0.9999588469974918,0.016517549896770005
120,0.005502406666666001,0.999958469244941,0.0166551961459
121,0.005513050416665,0.9999580907630541,0.01679284239504
122,0.0055236245833329995,0.9999577115572189,0.016930488644180005
123,0.0055341345833340005,0.9999573316367132,0.017068134893319997
124,0.005544368333334001,0.999956951013276,0.017205781142459995
125,0.005555087083332999,0.999956569652212,0.0173434273916
126,0.005565700833334,0.9999561875625892,0.01748107364074
127,0.005576954583335,0.999955804703049,0.017618719889880004
128,0.00558750375,0.999955421120595,0.017756366139019996
129,0.005598357083333,0.999955036791589,0.017894012388159998
130,0.005609096250000999,0.999954651726372,0.0180316586373
131,0.00562053875,0.9999542658721419,0.01816930488644
132,0.00563152125,0.999953879263112,0.018306951135580004
133,0.0056420879166660005,0.99995349192439,0.018444597384719996
134,0.005652578333333999,0.999953103864675,0.018582243633859998
135,0.005663029166668,0.999952715091372,0.018719889883
136,0.005673242916666,0.9999523256135688,0.01885753613214
137,0.005684259166666,0.9999519353784091,0.018995182381280003
138,0.0056946112500009995,0.9999515444331781,0.019132828630419995
139,0.005704976666667999,0.999951152774212,0.019270474879559997
140,0.005715259583335,0.9999507604058351,0.0194081211287
141,0.005725117500000001,0.9999503673598928,0.01954576737784
142,0.005735756250001,0.999949973583995,0.019683413626980003
143,0.005745932083334,0.9999495791103248,0.019821059876120005
144,0.005756610416666,0.999949183905344,0.019958706125259996
145,0.005767493749999001,0.9999487879534861,0.0200963523744
146,0.005778284999999,0.9999483912617221,0.02023399862354
147,0.005789307916667,0.9999479938129289,0.020371644872680002
148,0.0057996133333350006,0.9999475956604309,0.020509291121820004
149,0.005809766249999,0.999947196810689,0.020646937370959996
150,0.005820456666665,0.9999467972233699,0.020784583620099998
151,0.005831578333334,0.9999463968732559,0.02092222986924
152,0.005842062083335,0.9999459958056331,0.021059876118380002
153,0.005853282083333,0.999945593967585,0.021197522367520004
154,0.00586521375,0.999945191312759,0.021335168616659995
155,0.005876783333332999,0.9999447878619818,0.02147281486579
156,0.005888823750001,0.999944383581272,0.021610461114930004
157,0.005900301249998999,0.9999439785118,0.021748107364070002
158,0.005912461250000001,0.999943572608931,0.021885753613209998
159,0.005923672083332001,0.9999431659336031,0.02202339986235
160,0.0059358741666669995,0.9999427584228929,0.02216104611149
161,0.005947103333334001,0.999942350140231,0.022298692360630003
162,0.00595892375,0.9999419410482681,0.022436338609770002
