,Emission magnitude [kgh],Cumulative emissions fraction [%],Cumulative fraction of sites
109,0.00012758062500000002,0.9999999885972679,0.0061009428729899996
110,0.00014482125,0.9999999871661409,0.00615640599002
111,0.00014826937500000002,0.9999999857046241,0.006211869107039999
112,0.00015516562500000002,0.9999999841697569,0.006267332224070001
113,0.000168958125,0.999999982488726,0.0063227953411
114,0.00018619875000000003,0.999999980645377,0.006378258458129999
115,0.000203439375,0.999999978624086,0.00643372157515
116,0.0002344725,0.9999999762880061,0.006489184692180001
117,0.000258609375,0.9999999737121851,0.00654464780921
118,0.000279298125,0.999999970938403,0.00660011092623
119,0.000299986875,0.9999999679620961,0.006655574043259999
120,0.00031722750000000007,0.999999964813961,0.00671103716029
121,0.00033791625000000004,0.999999961463722,0.00676650027732
122,0.000358605,0.999999957892222,0.00682196339434
123,0.000389638125,0.9999999540116381,0.006877426511369999
124,0.00042756750000000007,0.9999999497371231,0.006932889628399998
125,0.00046204875,0.9999999451264922,0.0069883527454200015
126,0.000493081875,0.999999940213687,0.00704381586245
127,0.000520666875,0.99999993501808,0.007099278979479999
128,0.000562044375,0.999999929415049,0.00715474209651
129,0.0006206625000000001,0.999999923239205,0.007210205213529998
130,0.00066893625,0.999999916571707,0.007265668330560001
131,0.000727554375,0.9999999093278109,0.00732113144759
132,0.00079306875,0.9999999014192978,0.00737659456461
133,0.0008413424999999999,0.999999893039778,0.00743205768164
134,0.0008654793749999999,0.9999998844216801,0.007487520798670001
135,0.0008999606250000002,0.999999875465525,0.0075429839157
136,0.0009447862500000001,0.9999998660577699,0.00759844703272
137,0.0009723712499999998,0.9999998563662469,0.00765391014975
138,0.0010413337499999998,0.999999845991643,0.007709373266780001
139,0.001086159375,0.999999835174739,0.007764836383800001
140,0.0011275368750000001,0.999999823953291,0.007820299500830002
141,0.0011516737499999998,0.9999998124792052,0.007875762617859999
142,0.001217188125,0.999999800344234,0.007931225734889998
143,0.0012792543749999999,0.9999997876043561,0.007986688851910001
144,0.0013171837499999998,0.999999774489441,0.008042151968939999
145,0.00137235375,0.999999760823169,0.00809761508597
146,0.001406835,0.999999746807608,0.008153078202989997
147,0.0014447643749999999,0.9999997324263259,0.008208541320019998
148,0.0014895900000000003,0.999999717596417,0.00826400443705
149,0.00153786375,0.9999997022826461,0.00831946755408
150,0.0015964818749999998,0.999999686390411,0.0083749306711
151,0.0016585481249999999,0.9999996698732121,0.00843039378813
152,0.001713718125,0.999999652790922,0.00848585690516
